job_id,client_id,consultant_id,market,date_opened,date_closed,exclusive,seniority,placement_type
J00001,C005,U001,IT & Data,2019-01-25,,false,senior,contract
J00002,C007,U002,Renewables,2019-07-01,,false,mid,perm
J00003,C028,U003,IT & Data,2019-09-17,,false,mid,perm
J00004,C008,U004,IT & Data,2019-10-02,,true,mid,contract
J00005,C010,U007,Engineering,2019-10-14,,false,mid,perm
J00006,C046,U007,Engineering,2019-05-27,,false,senior,perm
J00007,C016,U007,Engineering,2019-04-19,,false,mid,contract
J00008,C016,U007,Engineering,2019-10-21,,false,mid,perm
J00009,C060,U007,Engineering,2019-08-08,,false,senior,perm
J00010,C056,U007,Engineering,2019-09-23,,false,mid,contract
J00011,C019,U007,Engineering,2019-09-17,,true,junior,perm
J00012,C016,U007,Engineering,2019-12-19,,false,mid,perm
J00013,C026,U007,Engineering,2019-09-23,,false,mid,perm
J00014,C060,U007,Engineering,2019-10-07,,false,senior,contract
J00015,C002,U007,Engineering,2019-09-10,,false,senior,perm
J00016,C014,U007,Engineering,2019-01-24,,false,senior,contract
J00017,C016,U007,Engineering,2019-01-22,,false,senior,perm
J00018,C022,U007,Engineering,2019-07-04,,false,mid,perm
J00019,C002,U007,Engineering,2019-09-20,,true,senior,perm
J00020,C023,U007,Engineering,2019-09-30,,false,junior,contract
J00021,C010,U007,Engineering,2019-08-05,,false,junior,perm
J00022,C010,U007,Engineering,2019-11-22,,false,senior,contract
J00023,C002,U007,Engineering,2019-12-18,,false,mid,perm
J00024,C010,U007,Engineering,2019-06-11,,false,junior,perm
J00025,C060,U007,Engineering,2019-06-24,,false,junior,contract
J00026,C009,U007,Engineering,2019-04-02,,false,junior,perm
J00027,C060,U007,Engineering,2019-04-15,,true,mid,perm
J00028,C010,U007,Engineering,2019-09-11,,false,senior,perm
J00029,C064,U010,Life Sciences,2019-08-28,,true,senior,perm
J00030,C048,U011,Life Sciences,2019-02-20,,true,senior,perm
J00031,C066,U011,Life Sciences,2019-10-10,,false,junior,perm
J00032,C029,U011,Life Sciences,2019-06-20,,false,junior,contract
J00033,C064,U011,Life Sciences,2019-06-06,,false,mid,perm
J00034,C057,U011,Life Sciences,2019-03-13,,true,mid,contract
J00035,C070,U011,Life Sciences,2019-07-23,,false,senior,perm
J00036,C053,U011,Life Sciences,2019-11-18,,false,mid,perm
J00037,C034,U011,Life Sciences,2019-04-29,,true,senior,contract
J00038,C053,U011,Life Sciences,2019-06-03,,false,mid,perm
J00039,C034,U011,Life Sciences,2019-03-18,,false,senior,perm
J00040,C011,U011,Life Sciences,2019-05-28,,false,lead,perm
J00041,C069,U011,Life Sciences,2019-04-11,,false,junior,contract
J00042,C034,U011,Life Sciences,2019-06-03,,false,mid,contract
J00043,C070,U011,Life Sciences,2019-05-13,,true,senior,perm
J00044,C064,U011,Life Sciences,2019-11-14,,false,lead,contract
J00045,C053,U011,Life Sciences,2019-07-24,,false,mid,perm
J00046,C034,U011,Life Sciences,2019-01-14,,false,senior,perm
J00047,C001,U014,IT & Data,2019-04-03,,false,senior,contract
